name;url;colocated
Hsuehshan Tunnel Transformer;https://hsuehshantunnel.devpost.com/;False
Reality Virtually Hackathon 2017;https://arvr-hackathon-2017.devpost.com/;True
QuackCon;https://quackcon.devpost.com/;True
Samsung Gear App Challenge - Round 2;https://gearappfinal.devpost.com/;False
hackMHS V;https://hackmhsv.devpost.com/;True
GENOME LINK Challenge;https://genomelink.devpost.com/;False
VTHacks Spring 2015;https://vthacks2015.devpost.com/;True
HackHolyoke IV;https://hackholyoke-iv.devpost.com/;True
Baltimore Hackathon;https://baltimore-hackathon.devpost.com/;True
Baseball Hack Day 2018;https://baseballhackday-2018.devpost.com/;True
QHacks;https://qhacks2017.devpost.com/;True
School's Out Hackathon 2;https://sohacks2.devpost.com/;True
HackMizzou 2014;https://hackmizzou2014.devpost.com/;True
HackIllinois 2018;https://hackillinois-2018.devpost.com/;True
Innovate Health Tech NYC;https://innovatehealthtechnyc.devpost.com/;False
GunnHacks 2.0;https://gunnhacks2.devpost.com/;True
The StreetApps Challenge by Thomson Reuters;https://streetapps.devpost.com/;False
Hamp Hack 2017;https://hamp-hack-2017.devpost.com/;True
HackTM 2017;https://hacktm-2017.devpost.com/;True
HackFSU '16;https://hackfsu16.devpost.com/;True
Hack Upstate XI;https://hack-upstate-xi.devpost.com/;True
SwampHacks IV;https://swamphacks-iv.devpost.com/;False
Hacking Generation Y;https://hackgeny.devpost.com/;True
Hack@Brown 2016;https://hackatbrown2016.devpost.com/;True
GIIS Hackathon 2k18;https://giishack2k18.devpost.com/;True
MedHacks 2.0;https://medhacks2016.devpost.com/;True
McHacks 2016;https://mchacks16.devpost.com/;True
PennApps;https://pennapps.devpost.com/;True
Hack Productivity 3;https://office365hack3.devpost.com/;False
HackOut;https://hackout.devpost.com/;True
HackZurich;https://hackzurich17.devpost.com/;True
BrickHack 3;https://brickhack3.devpost.com/;True
VolHacks II;https://volhacks2.devpost.com/;True
BostonHacks Fall 2017;https://bostonhacks-f17.devpost.com/;True
Appcelerator Mobile Dev Challenge;https://2012appcelerator.devpost.com/;False
Apps Against Abuse;https://appsagainstabuse.devpost.com/;False
Media in Context Hackathon;https://canvas.devpost.com/;True
UWPHacks;https://uwphacks-4200.devpost.com/;True
MLH Prime Southwest Regional 2016;https://mlh-prime-southwest.devpost.com/;True
5C Hackathon Fall 2017;https://5chackathon2017fall.devpost.com/;True
Hacking Generation Y - London;https://hackgeny-london.devpost.com/;True
TeenHacks 2014;https://teenhacks2014.devpost.com/;True
QueensHack;https://queenshack.devpost.com/;True
MHacks: Refactor;https://mhacksrefactor.devpost.com/;True
McHacks;https://mchacks15.devpost.com/;True
LA Hacks 2015;https://lahacks2015.devpost.com/;True
Local Hack Day CSUS;https://local-hack-day-csus.devpost.com/;True
Salesforce $1 Million Hackathon 2014;https://salesforcehackathon.devpost.com/;True
ETHWaterloo;https://ethwaterloo.devpost.com/;True
Hopper Elasticsearch Hackathon;https://elastichack.devpost.com/;True
Hack HSV;https://hackhsvii.devpost.com/;True
Bitcamp 2014;https://bitcamp.devpost.com/;True
HackGT 2016;https://hackgt2016.devpost.com/;True
TAMUHack 2018;https://tamuhack2018.devpost.com/;True
Music Hackday Berlin 2016;https://music-hackday-berlin.devpost.com/;True
Hack.UVA;https://hackuva2018.devpost.com/;True
Wayfair's 5th Annual Summer Hackathon [Private Event];https://wayfair-hackathon-2017.devpost.com/;True
GeauxHack;https://geauxhack2014.devpost.com/;True
MangoHacks 2018;https://mangohacks2018.devpost.com/;True
IncubateIND;https://incubateind.devpost.com/;True
Houston Hackathon v5;https://houstonhackathon5.devpost.com/;True
Hackpoly 2017;https://hackpoly2017.devpost.com/;True
HackBU;https://hackbu2018s.devpost.com/;True
DCHacks;https://dchacks.devpost.com/;True
Anvil Hack IV;https://anvil-hack-iv-6211.devpost.com/;True
Destination Hack: London;https://destinationhack-london.devpost.com/;True
HackFSU '17;https://hackfsu-17.devpost.com/;True
HackMTY 2016;https://hackmty2016.devpost.com/;True
HackPrinceton Fall 2016;https://hackprinceton-fall16.devpost.com/;True
Hack101;https://hack101.devpost.com/;True
HoloHacks Philadelphia;https://holohacks-philly.devpost.com/;True
!SingleHack;https://singlehack.devpost.com/;True
HackUMBC Spring 2016;https://hackumbcs16.devpost.com/;True
NYC BigApps 2.0;https://nycbigapps2010.devpost.com/;False
Fashion / Tech Hackathon 2016;https://fth2016.devpost.com/;True
HackHarvard 2017;https://hackharvard-2017.devpost.com/;True
MHacks X;https://mhacksx.devpost.com/;True
Los Altos Hacks III;https://losaltoshacks3.devpost.com/;True
WeCanCode HACK Ensenada 2015;https://wecancode-ensenada-2015.devpost.com/;True
ScarletHacks 2017: Illinois Tech's Premier Hackathon;https://scarlethacks2017.devpost.com/;True
Epson Moverio Develop the Future App Challenge;https://epsonmoverio.devpost.com/;False
TrojanHacks 2016;https://trojanhacks2016.devpost.com/;True
Fall 2017 hackNY Student Hackathon;https://hackny-f2017.devpost.com/;True
ecomhack 2015;https://ecomhack2015.devpost.com/;True
HackPrinceton Spring 2017;https://hackprinceton-spr17.devpost.com/;True
Stacs Hack 2015;https://stacshack.devpost.com/;True
FinTech Hackathon;https://fintechhacknyc.devpost.com/;True
Anvil Hack 2017;https://anvilhack2017.devpost.com/;True
DEWAHACKS Student Hackathon 2017;https://dewahacks2017.devpost.com/;True
HackPrinceton Fall 2017;https://hackprinceton-fall17.devpost.com/;True
HackPSU: Penn State's Learning Hackathon;https://hackpsu2015.devpost.com/;True
Uncommon Hacks Spring 2016;https://uncommonhacksspr16.devpost.com/;True
Hack the Heat 2;https://hack-the-heat-2.devpost.com/;True
HackTCNJ 2018;https://hacktcnj-2018.devpost.com/;True
THacks 2;https://thacks2.devpost.com/;True
Samsung Galaxy Note S Pen App Challenge;https://galaxynotespenchallenge.devpost.com/;False
AstonHack;https://astonhack.devpost.com/;True
CatHacks 3;https://cathacks3.devpost.com/;True
DubHacks 2016;https://dubhacks16f.devpost.com/;True
